<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;D;20180807;000000;6.8500000;6.8619000;6.8184000;6.8280000;4723
USDCNY;D;20180808;000000;6.8289000;6.8399000;6.7987000;6.8340000;4464
USDCNY;D;20180809;000000;6.8357000;6.8369000;6.8118000;6.8190000;4004
USDCNY;D;20180810;000000;6.8198000;6.8595000;6.8198000;6.8457000;4136
USDCNY;D;20180811;000000;6.8457000;6.8457000;6.8457000;6.8457000;1
USDCNY;D;20180813;000000;6.8458000;6.8880000;6.8457000;6.8879000;6318
USDCNY;D;20180814;000000;6.8887000;6.8938000;6.8764000;6.8808000;6312
USDCNY;D;20180815;000000;6.8808000;6.9330000;6.8808000;6.9320000;2993
USDCNY;D;20180816;000000;6.9347000;6.9347000;6.8782000;6.8790000;3576
USDCNY;D;20180817;000000;6.8828000;6.8931000;6.8651000;6.8739000;3500
USDCNY;D;20180818;000000;6.8739000;6.8739000;6.8739000;6.8739000;2
USDCNY;D;20180820;000000;6.8750000;6.8774000;6.8434000;6.8545000;3176
USDCNY;D;20180821;000000;6.8545000;6.8546000;6.8309000;6.8440000;3543
USDCNY;D;20180822;000000;6.8443000;6.8471000;6.8344000;6.8400000;3580
USDCNY;D;20180823;000000;6.8417000;6.8768000;6.8399000;6.8745000;3601
USDCNY;D;20180824;000000;6.8753000;6.8906000;6.8020000;6.8020000;3497
USDCNY;D;20180825;000000;6.8029000;6.8029000;6.8029000;6.8029000;2
USDCNY;D;20180827;000000;6.8100000;6.8253000;6.8029000;6.8144000;3348
USDCNY;D;20180828;000000;6.8156000;6.8201000;6.7971000;6.8017000;3545
USDCNY;D;20180829;000000;6.8030000;6.8275000;6.7989000;6.8189000;3485
USDCNY;D;20180830;000000;6.8212000;6.8415000;6.8185000;6.8414000;3650
USDCNY;D;20180831;000000;6.8420000;6.8470000;6.8214000;6.8299000;3288
USDCNY;D;20180901;000000;6.8299000;6.8299000;6.8299000;6.8299000;1
USDCNY;D;20180903;000000;6.8300000;6.8441000;6.8145000;6.8199000;3289
USDCNY;D;20180904;000000;6.8203000;6.8437000;6.8064000;6.8426000;1513
USDCNY;D;20180905;000000;6.8442000;6.8442000;6.8255000;6.8269000;3517
USDCNY;D;20180906;000000;6.8280000;6.8390000;6.8205000;6.8321000;1672
USDCNY;D;20180907;000000;6.8330000;6.8479000;6.8215000;6.8418000;3243
USDCNY;D;20180909;000000;6.8418000;6.8418000;6.8418000;6.8418000;1
USDCNY;D;20180910;000000;6.8419000;6.8656000;6.8418000;6.8544000;3349
USDCNY;D;20180911;000000;6.8544000;6.8764000;6.8544000;6.8703000;3843
USDCNY;D;20180912;000000;6.8703000;6.8792000;6.8573000;6.8573000;3028
USDCNY;D;20180913;000000;6.8492000;6.8500000;6.8241000;6.8406000;3655
USDCNY;D;20180914;000000;6.8422000;6.8673000;6.8406000;6.8672000;3760
USDCNY;D;20180915;000000;6.8672000;6.8672000;6.8672000;6.8672000;1
USDCNY;D;20180916;000000;6.8672000;6.8672000;6.8672000;6.8672000;1
USDCNY;D;20180917;000000;6.8643000;6.8750000;6.8527000;6.8539000;3408
USDCNY;D;20180918;000000;6.8545000;6.8781000;6.8526000;6.8590000;3667
USDCNY;D;20180919;000000;6.8615000;6.8658000;6.8450000;6.8465000;3598
USDCNY;D;20180920;000000;6.8482000;6.8570000;6.8390000;6.8454000;3654
USDCNY;D;20180921;000000;6.8454000;6.8592000;6.8324000;6.8558000;3352
USDCNY;D;20180922;000000;6.8558000;6.8558000;6.8558000;6.8558000;1
USDCNY;D;20180924;000000;6.8559000;6.8570000;6.8540000;6.8550000;1064
USDCNY;D;20180925;000000;6.8570000;6.8808000;6.8558000;6.8631000;3455
USDCNY;D;20180926;000000;6.8630000;6.8779000;6.8630000;6.8762000;3290
USDCNY;D;20180927;000000;6.8785000;6.8910000;6.8677000;6.8879000;2514
USDCNY;D;20180928;000000;6.8879000;6.8902000;6.8650000;6.8650000;3069
USDCNY;D;20180929;000000;6.8679000;6.8679000;6.8679000;6.8679000;1
USDCNY;D;20181001;000000;6.8680000;6.8688000;6.8670000;6.8679000;1071
USDCNY;D;20181002;000000;6.8688000;6.8688000;6.8670000;6.8679000;1087
USDCNY;D;20181003;000000;6.8679000;6.8688000;6.8650000;6.8650000;1039
USDCNY;D;20181004;000000;6.8688000;6.8688000;6.8650000;6.8680000;1069
USDCNY;D;20181005;000000;6.8688000;6.8688000;6.8650000;6.8679000;1076
USDCNY;D;20181006;000000;6.8679000;6.8679000;6.8679000;6.8679000;2
USDCNY;D;20181007;000000;6.8679000;6.8679000;6.8679000;6.8679000;3
USDCNY;D;20181008;000000;6.8680000;6.9319000;6.8679000;6.9288000;2677
USDCNY;D;20181009;000000;6.9307000;6.9307000;6.9071000;6.9216000;3735
USDCNY;D;20181010;000000;6.9216000;6.9239000;6.9149000;6.9223000;2787
USDCNY;D;20181011;000000;6.9223000;6.9330000;6.8858000;6.8880000;3642
USDCNY;D;20181012;000000;6.8898000;6.9278000;6.8871000;6.9180000;3410
USDCNY;D;20181013;000000;6.9181000;6.9181000;6.9181000;6.9181000;5
USDCNY;D;20181014;000000;6.9181000;6.9181000;6.9181000;6.9181000;6
USDCNY;D;20181015;000000;6.9200000;6.9298000;6.9130000;6.9130000;3506
USDCNY;D;20181016;000000;6.9130000;6.9258000;6.9052000;6.9101000;3533
USDCNY;D;20181017;000000;6.9119000;6.9285000;6.9101000;6.9250000;3519
USDCNY;D;20181018;000000;6.9262000;6.9419000;6.9262000;6.9360000;3630
USDCNY;D;20181019;000000;6.9366000;6.9415000;6.9260000;6.9290000;3361
USDCNY;D;20181020;000000;6.9290000;6.9290000;6.9290000;6.9290000;3
USDCNY;D;20181022;000000;6.9283000;6.9448000;6.9283000;6.9445000;2991
USDCNY;D;20181023;000000;6.9445000;6.9450000;6.9347000;6.9350000;3092
USDCNY;D;20181024;000000;6.9372000;6.9435000;6.9348000;6.9410000;2731
USDCNY;D;20181025;000000;6.9419000;6.9514000;6.9409000;6.9475000;2776
USDCNY;D;20181026;000000;6.9489000;6.9641000;6.9340000;6.9424000;3328
USDCNY;D;20181027;000000;6.9424000;6.9424000;6.9424000;6.9424000;4
USDCNY;D;20181028;000000;6.9424000;6.9424000;6.9424000;6.9424000;3
USDCNY;D;20181029;000000;6.9424000;6.9615000;6.9386000;6.9604000;3250
USDCNY;D;20181030;000000;6.9604000;6.9710000;6.9582000;6.9650000;3462
USDCNY;D;20181031;000000;6.9662000;6.9762000;6.9617000;6.9736000;3259
USDCNY;D;20181101;000000;6.9730000;6.9756000;6.9187000;6.9200000;3258
USDCNY;D;20181102;000000;6.9204000;6.9314000;6.8675000;6.8890000;3650
USDCNY;D;20181103;000000;6.8893000;6.8893000;6.8893000;6.8893000;1
USDCNY;D;20181105;000000;6.8894000;6.9299000;6.8893000;6.9248000;3531
USDCNY;D;20181106;000000;6.9240000;6.9284000;6.9100000;6.9171000;3350
USDCNY;D;20181107;000000;6.9160000;6.9408000;6.9118000;6.9173000;3508
USDCNY;D;20181108;000000;6.9170000;6.9366000;6.9170000;6.9317000;2372
USDCNY;D;20181109;000000;6.9320000;6.9553000;6.9317000;6.9552000;3427
USDCNY;D;20181110;000000;6.9552000;6.9552000;6.9550000;6.9552000;3
USDCNY;D;20181111;000000;6.9552000;6.9552000;6.9552000;6.9552000;1
USDCNY;D;20181112;000000;6.9553000;6.9686000;6.9401000;6.9617000;3297
USDCNY;D;20181113;000000;6.9617000;6.9695000;6.9481000;6.9545000;3317
USDCNY;D;20181114;000000;6.9559000;6.9559000;6.9457000;6.9499000;3034
USDCNY;D;20181115;000000;6.9499000;6.9504000;6.9325000;6.9380000;1462
USDCNY;D;20181116;000000;6.9379000;6.9504000;6.9283000;6.9366000;2424
USDCNY;D;20181117;000000;6.9366000;6.9366000;6.9360000;6.9360000;3
USDCNY;D;20181119;000000;6.9366000;6.9449000;6.9324000;6.9397000;2756
USDCNY;D;20181120;000000;6.9390000;6.9463000;6.9361000;6.9447000;2938
USDCNY;D;20181121;000000;6.9452000;6.9496000;6.9247000;6.9247000;2255
USDCNY;D;20181122;000000;6.9247000;6.9371000;6.9213000;6.9302000;2723
USDCNY;D;20181123;000000;6.9319000;6.9488000;6.9311000;6.9476000;2868
USDCNY;D;20181124;000000;6.9476000;6.9476000;6.9476000;6.9476000;3
USDCNY;D;20181126;000000;6.9477000;6.9484000;6.9330000;6.9396000;3844
USDCNY;D;20181127;000000;6.9396000;6.9534000;6.9390000;6.9497000;3123
USDCNY;D;20181128;000000;6.9497000;6.9568000;6.9493000;6.9533000;2864
USDCNY;D;20181129;000000;6.9538000;6.9538000;6.9346000;6.9410000;3202
USDCNY;D;20181130;000000;6.9424000;6.9558000;6.9401000;6.9557000;2979
USDCNY;D;20181201;000000;6.9557000;6.9557000;6.9557000;6.9557000;2
USDCNY;D;20181202;000000;6.9557000;6.9557000;6.9557000;6.9557000;1
USDCNY;D;20181203;000000;6.9580000;6.9604000;6.8797000;6.8797000;3746
USDCNY;D;20181204;000000;6.8797000;6.8886000;6.8307000;6.8342000;3824
USDCNY;D;20181205;000000;6.8342000;6.8690000;6.8342000;6.8545000;3477
USDCNY;D;20181206;000000;6.8545000;6.8958000;6.8545000;6.8815000;3701
USDCNY;D;20181207;000000;6.8800000;6.8894000;6.8657000;6.8732000;3359
USDCNY;D;20181208;000000;6.8732000;6.8732000;6.8730000;6.8730000;3
USDCNY;D;20181210;000000;6.8733000;6.9140000;6.8732000;6.9076000;2111
USDCNY;D;20181211;000000;6.9075000;6.9153000;6.8917000;6.8967000;3080
USDCNY;D;20181212;000000;6.8967000;6.8975000;6.8746000;6.8775000;2762
USDCNY;D;20181213;000000;6.8777000;6.8818000;6.8622000;6.8797000;3077
USDCNY;D;20181214;000000;6.8790000;6.9051000;6.8790000;6.9050000;1993
USDCNY;D;20181215;000000;6.9050000;6.9050000;6.9049000;6.9050000;5
USDCNY;D;20181216;000000;6.9049000;6.9049000;6.9049000;6.9049000;1
USDCNY;D;20181217;000000;6.9052000;6.9076000;6.8916000;6.8961000;2914
USDCNY;D;20181218;000000;6.8961000;6.9005000;6.8869000;6.8938000;2092
USDCNY;D;20181219;000000;6.8950000;6.8979000;6.8868000;6.8917000;3024
USDCNY;D;20181220;000000;6.8910000;6.9133000;6.8818000;6.8833000;2984
USDCNY;D;20181221;000000;6.8833000;6.9061000;6.8800000;6.9047000;3211
USDCNY;D;20181222;000000;6.9047000;6.9047000;6.9040000;6.9040000;3
USDCNY;D;20181224;000000;6.9047000;6.9117000;6.8935000;6.8977000;3091
USDCNY;D;20181225;000000;6.8977000;6.8977000;6.8751000;6.8858000;2942
USDCNY;D;20181226;000000;6.8858000;6.8896000;6.8750000;6.8843000;2238
USDCNY;D;20181227;000000;6.8843000;6.8949000;6.8620000;6.8648000;3629
USDCNY;D;20181228;000000;6.8740000;6.8755000;6.8469000;6.8754000;3809
USDCNY;D;20181229;000000;6.8754000;6.8754000;6.8750000;6.8750000;3
USDCNY;D;20181231;000000;6.8760000;6.8784000;6.8750000;6.8750000;1071
USDCNY;D;20190101;000000;6.8754000;6.8754000;6.8754000;6.8754000;1059
USDCNY;D;20190102;000000;6.8760000;6.8765000;6.8482000;6.8596000;3781
USDCNY;D;20190103;000000;6.8596000;6.8826000;6.8596000;6.8707000;3572
USDCNY;D;20190104;000000;6.8707000;6.8720000;6.8609000;6.8662000;3865
USDCNY;D;20190105;000000;6.8663000;6.8663000;6.8662000;6.8662000;3
USDCNY;D;20190107;000000;6.8662000;6.8691000;6.8430000;6.8500000;3384
USDCNY;D;20190108;000000;6.8500000;6.8609000;6.8424000;6.8518000;3884
USDCNY;D;20190109;000000;6.8518000;6.8531000;6.8116000;6.8116000;3380
USDCNY;D;20190110;000000;6.8107000;6.8224000;6.7730000;6.7874000;3585
USDCNY;D;20190111;000000;6.7874000;6.7899000;6.7371000;6.7595000;2350
USDCNY;D;20190112;000000;6.7595000;6.7595000;6.7595000;6.7595000;3
USDCNY;D;20190113;000000;6.7595000;6.7595000;6.7595000;6.7595000;1
USDCNY;D;20190114;000000;6.7605000;6.7701000;6.7336000;6.7667000;2643
USDCNY;D;20190115;000000;6.7680000;6.7680000;6.7376000;6.7594000;4201
USDCNY;D;20190116;000000;6.7590000;6.7787000;6.7513000;6.7531000;3808
USDCNY;D;20190117;000000;6.7543000;6.7767000;6.7435000;6.7734000;3848
USDCNY;D;20190118;000000;6.7730000;6.7805000;6.7667000;6.7764000;2906
USDCNY;D;20190119;000000;6.7760000;6.7764000;6.7760000;6.7764000;6
USDCNY;D;20190121;000000;6.7764000;6.7968000;6.7764000;6.7929000;3947
USDCNY;D;20190122;000000;6.7979000;6.8103000;6.7903000;6.8071000;5104
USDCNY;D;20190123;000000;6.8071000;6.8079000;6.7758000;6.7896000;4555
USDCNY;D;20190124;000000;6.7919000;6.7962000;6.7742000;6.7835000;3996
USDCNY;D;20190125;000000;6.7834000;6.7904000;6.7440000;6.7440000;3939
USDCNY;D;20190126;000000;6.7447000;6.7447000;6.7447000;6.7447000;1
USDCNY;D;20190127;000000;6.7447000;6.7447000;6.7447000;6.7447000;5
USDCNY;D;20190128;000000;6.7483000;6.7600000;6.7225000;6.7436000;1587
USDCNY;D;20190129;000000;6.7436000;6.7529000;6.7274000;6.7303000;6095
USDCNY;D;20190130;000000;6.7303000;6.7328000;6.7030000;6.7114000;5238
USDCNY;D;20190131;000000;6.7114000;6.7164000;6.6904000;6.6957000;3091
USDCNY;D;20190201;000000;6.6999000;6.7426000;6.6957000;6.7425000;4728
USDCNY;D;20190202;000000;6.7425000;6.7425000;6.7420000;6.7420000;6
USDCNY;D;20190204;000000;6.7426000;6.7447000;6.7420000;6.7425000;1066
USDCNY;D;20190205;000000;6.7447000;6.7447000;6.7416000;6.7425000;1057
USDCNY;D;20190206;000000;6.7447000;6.7447000;6.7416000;6.7425000;1052
USDCNY;D;20190207;000000;6.7425000;6.7447000;6.7425000;6.7425000;1063
USDCNY;D;20190208;000000;6.7425000;6.7447000;6.7416000;6.7425000;1050
USDCNY;D;20190209;000000;6.7425000;6.7430000;6.7425000;6.7430000;4
USDCNY;D;20190210;000000;6.7425000;6.7425000;6.7425000;6.7425000;3
USDCNY;D;20190211;000000;6.7426000;6.7922000;6.7418000;6.7905000;4956
USDCNY;D;20190212;000000;6.7923000;6.7941000;6.7646000;6.7725000;5221
USDCNY;D;20190213;000000;6.7739000;6.7739000;6.7499000;6.7595000;4666
