<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUBUSD;D;20200513;000000;0.0135730;0.0136300;0.0134290;0.0134930;282
RUBUSD;D;20200514;000000;0.0134910;0.0135870;0.0133870;0.0135100;284
RUBUSD;D;20200515;000000;0.0135120;0.0136530;0.0135000;0.0135950;256
RUBUSD;D;20200517;000000;0.0135950;0.0135950;0.0135020;0.0135420;61
RUBUSD;D;20200518;000000;0.0135420;0.0137540;0.0135290;0.0137340;288
RUBUSD;D;20200519;000000;0.0137200;0.0138070;0.0137060;0.0137490;287
RUBUSD;D;20200520;000000;0.0137480;0.0140590;0.0137310;0.0140050;288
RUBUSD;D;20200521;000000;0.0140010;0.0141160;0.0139530;0.0141030;288
RUBUSD;D;20200522;000000;0.0140360;0.0141170;0.0138340;0.0139510;262
RUBUSD;D;20200524;000000;0.0139660;0.0139660;0.0139070;0.0139580;48
RUBUSD;D;20200525;000000;0.0139570;0.0140250;0.0138830;0.0139210;288
RUBUSD;D;20200526;000000;0.0139310;0.0141180;0.0139150;0.0140850;278
RUBUSD;D;20200527;000000;0.0140810;0.0141100;0.0139660;0.0140700;287
RUBUSD;D;20200528;000000;0.0140700;0.0142130;0.0140080;0.0141400;284
RUBUSD;D;20200529;000000;0.0141390;0.0142220;0.0140810;0.0142120;257
RUBUSD;D;20200531;000000;0.0141920;0.0142670;0.0141610;0.0142440;43
RUBUSD;D;20200601;000000;0.0142440;0.0144670;0.0141780;0.0144300;288
RUBUSD;D;20200602;000000;0.0144610;0.0145430;0.0144190;0.0145270;288
RUBUSD;D;20200603;000000;0.0145170;0.0146170;0.0144710;0.0146060;288
RUBUSD;D;20200604;000000;0.0145490;0.0146140;0.0143500;0.0144340;288
RUBUSD;D;20200605;000000;0.0144340;0.0146080;0.0144210;0.0145410;263
RUBUSD;D;20200607;000000;0.0145330;0.0146580;0.0145260;0.0146510;68
RUBUSD;D;20200608;000000;0.0146330;0.0146560;0.0145460;0.0146530;288
RUBUSD;D;20200609;000000;0.0146390;0.0146600;0.0144660;0.0145440;288
RUBUSD;D;20200610;000000;0.0145360;0.0146110;0.0144680;0.0145610;287
RUBUSD;D;20200611;000000;0.0145700;0.0146050;0.0141960;0.0142580;278
RUBUSD;D;20200612;000000;0.0142430;0.0144000;0.0141470;0.0142660;260
RUBUSD;D;20200614;000000;0.0142940;0.0143360;0.0142300;0.0143320;45
RUBUSD;D;20200615;000000;0.0143320;0.0143370;0.0141420;0.0143370;288
RUBUSD;D;20200616;000000;0.0143370;0.0144060;0.0142630;0.0143570;286
RUBUSD;D;20200617;000000;0.0143570;0.0144040;0.0142720;0.0143140;282
RUBUSD;D;20200618;000000;0.0143150;0.0144010;0.0142440;0.0143190;287
RUBUSD;D;20200619;000000;0.0142650;0.0144030;0.0142620;0.0143800;258
