<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNYCB;D;20190808;000000;9.2437000;9.2437000;9.2437000;9.2437000;0
CNYCB;D;20190809;000000;9.2452300;9.2452300;9.2452300;9.2452300;0
CNYCB;D;20190810;000000;9.2527800;9.2527800;9.2527800;9.2527800;0
CNYCB;D;20190813;000000;9.2576900;9.2576900;9.2576900;9.2576900;0
CNYCB;D;20190814;000000;9.2833500;9.2833500;9.2833500;9.2833500;0
CNYCB;D;20190815;000000;9.2923100;9.2923100;9.2923100;9.2923100;0
CNYCB;D;20190816;000000;9.3722500;9.3722500;9.3722500;9.3722500;0
CNYCB;D;20190817;000000;9.3680600;9.3680600;9.3680600;9.3680600;0
CNYCB;D;20190820;000000;9.4556200;9.4556200;9.4556200;9.4556200;0
CNYCB;D;20190824;000000;9.2631800;9.2631800;9.2631800;9.2631800;0
CNYCB;D;20190827;000000;9.2239700;9.2239700;9.2239700;9.2239700;0
CNYCB;D;20190828;000000;9.2448800;9.2448800;9.2448800;9.2448800;0
CNYCB;D;20190829;000000;9.2703400;9.2703400;9.2703400;9.2703400;0
CNYCB;D;20190830;000000;9.3333000;9.3333000;9.3333000;9.3333000;0
CNYCB;D;20190831;000000;9.3044600;9.3044600;9.3044600;9.3044600;0
CNYCB;D;20190903;000000;9.2897800;9.2897800;9.2897800;9.2897800;0
CNYCB;D;20190904;000000;9.3206300;9.3206300;9.3206300;9.3206300;0
CNYCB;D;20190905;000000;9.2952700;9.2952700;9.2952700;9.2952700;0
CNYCB;D;20190906;000000;9.2442300;9.2442300;9.2442300;9.2442300;0
CNYCB;D;20190907;000000;9.2630200;9.2630200;9.2630200;9.2630200;0
CNYCB;D;20190910;000000;9.1969700;9.1969700;9.1969700;9.1969700;0
CNYCB;D;20190911;000000;9.2101900;9.2101900;9.2101900;9.2101900;0
CNYCB;D;20190912;000000;9.1933900;9.1933900;9.1933900;9.1933900;0
CNYCB;D;20190913;000000;9.1965800;9.1965800;9.1965800;9.1965800;0
CNYCB;D;20190914;000000;9.1068600;9.1068600;9.1068600;9.1068600;0
CNYCB;D;20190917;000000;9.0351800;9.0351800;9.0351800;9.0351800;0
CNYCB;D;20190918;000000;9.0391900;9.0391900;9.0391900;9.0391900;0
CNYCB;D;20190919;000000;9.0896100;9.0896100;9.0896100;9.0896100;0
CNYCB;D;20190920;000000;9.0462000;9.0462000;9.0462000;9.0462000;0
CNYCB;D;20190921;000000;9.0054600;9.0054600;9.0054600;9.0054600;0
CNYCB;D;20190924;000000;8.9731400;8.9731400;8.9731400;8.9731400;0
CNYCB;D;20190925;000000;8.9629600;8.9629600;8.9629600;8.9629600;0
CNYCB;D;20190926;000000;9.0098800;9.0098800;9.0098800;9.0098800;0
CNYCB;D;20190927;000000;9.0141300;9.0141300;9.0141300;9.0141300;0
CNYCB;D;20190928;000000;9.0472600;9.0472600;9.0472600;9.0472600;0
CNYCB;D;20191001;000000;9.0548400;9.0548400;9.0548400;9.0548400;0
CNYCB;D;20191002;000000;9.1023200;9.1023200;9.1023200;9.1023200;0
CNYCB;D;20191003;000000;9.1544800;9.1544800;9.1544800;9.1544800;0
CNYCB;D;20191004;000000;9.1113000;9.1113000;9.1113000;9.1113000;0
CNYCB;D;20191005;000000;9.0971400;9.0971400;9.0971400;9.0971400;0
CNYCB;D;20191008;000000;9.0685900;9.0685900;9.0685900;9.0685900;0
CNYCB;D;20191009;000000;9.0977800;9.0977800;9.0977800;9.0977800;0
CNYCB;D;20191010;000000;9.1254900;9.1254900;9.1254900;9.1254900;0
CNYCB;D;20191011;000000;9.0865400;9.0865400;9.0865400;9.0865400;0
CNYCB;D;20191012;000000;9.0443200;9.0443200;9.0443200;9.0443200;0
CNYCB;D;20191015;000000;9.1082400;9.1082400;9.1082400;9.1082400;0
CNYCB;D;20191016;000000;9.0777200;9.0777200;9.0777200;9.0777200;0
CNYCB;D;20191017;000000;9.0587900;9.0587900;9.0587900;9.0587900;0
CNYCB;D;20191018;000000;9.0367300;9.0367300;9.0367300;9.0367300;0
CNYCB;D;20191019;000000;9.0293800;9.0293800;9.0293800;9.0293800;0
